iter	Passed	Remaining
0	0	918
1	1	831
2	2	757
3	2	722
4	3	703
5	4	688
6	4	671
7	5	666
8	6	662
9	6	661
10	7	655
11	8	664
12	8	658
13	9	653
14	9	649
15	10	646
16	11	641
17	11	637
18	12	635
19	12	635
20	13	639
21	14	637
22	14	633
23	15	630
24	16	629
25	16	627
26	17	626
27	17	623
28	18	621
29	19	619
30	19	617
31	20	615
32	21	616
33	21	617
34	22	620
35	23	620
36	23	618
37	24	617
38	24	615
39	25	613
40	26	612
41	26	610
42	27	610
43	28	609
44	28	611
45	29	611
46	30	610
47	30	609
48	31	607
49	31	606
50	32	605
51	33	603
52	33	602
53	34	600
54	34	599
55	35	600
56	36	601
57	37	602
58	37	601
59	38	600
60	38	599
61	39	598
62	40	597
63	40	595
64	41	595
65	42	594
66	42	593
67	43	594
68	44	595
69	44	593
70	45	594
71	46	593
72	46	592
73	47	590
74	47	589
75	48	588
76	49	587
77	49	587
78	50	586
79	51	586
80	51	586
81	52	585
82	52	581
83	53	580
84	53	580
85	54	579
86	55	578
87	55	577
88	56	576
89	56	575
90	57	574
91	58	574
92	58	575
93	59	575
94	60	574
95	60	573
96	61	572
97	62	572
98	62	571
99	63	570
100	63	569
101	64	568
102	65	567
103	65	567
104	66	567
105	67	567
106	67	566
107	68	565
108	69	564
109	69	563
110	70	562
111	70	561
112	71	560
113	71	558
114	72	557
115	73	556
116	73	555
117	74	555
118	74	554
119	75	553
120	76	552
121	76	550
122	77	549
123	77	548
124	78	547
125	78	546
126	79	544
127	79	543
128	80	542
129	80	541
130	81	541
131	82	540
132	82	539
133	83	538
134	83	537
135	84	536
136	84	535
137	85	534
138	86	533
139	86	532
140	87	530
141	87	528
142	88	528
143	88	527
144	89	527
145	90	526
146	90	525
147	91	524
148	91	523
149	92	523
150	92	522
151	93	521
152	93	520
153	94	519
154	95	518
155	95	518
156	96	518
157	97	517
158	97	517
159	98	516
160	98	514
161	99	513
162	99	512
163	100	511
164	100	510
165	101	509
166	101	508
167	102	507
168	102	506
169	103	506
170	104	505
171	105	505
172	105	504
173	106	503
174	106	503
175	107	501
176	107	500
177	108	499
178	108	499
179	109	498
180	109	497
181	110	496
182	111	496
183	112	497
184	112	497
185	113	497
186	114	496
187	114	495
188	115	495
189	115	494
190	116	493
191	117	492
192	117	491
193	118	491
194	119	492
195	119	492
196	120	491
197	121	491
198	121	490
199	122	489
200	122	488
201	123	487
202	123	486
203	124	485
204	124	484
205	125	483
206	125	482
207	126	482
208	127	481
209	127	480
210	128	479
211	128	478
212	129	477
213	129	476
214	130	475
215	130	475
216	131	474
217	131	473
218	132	472
219	132	471
220	133	470
221	134	470
222	135	470
223	135	470
224	136	469
225	136	468
226	137	468
227	137	467
228	138	466
229	139	465
230	139	464
231	140	463
232	140	463
233	141	462
234	141	462
235	142	461
236	143	460
237	143	459
238	144	459
239	144	458
240	145	457
241	145	456
242	146	455
243	146	454
244	147	454
245	147	453
246	148	452
247	149	452
